2024-06-09|04:03:21 PM|Gas Station|Chevron|P|-976.2
2024-10-27|06:39:27 PM|Salary|Trader Joe's|D|1182.31
2024-02-20|12:37:57 AM|Coffee Shop|Starbucks|D|1015.91
2024-08-10|12:38:21 PM|Dining Out|Costco|D|239.53
2025-03-05|02:15:23 AM|Salary|Trader Joe's|D|496.71
2024-02-12|12:42:23 AM|Online Purchase|Safeway|P|-859.62
2024-09-28|02:28:31 PM|Salary|Walmart|D|343.72
2024-03-06|02:55:47 PM|Streaming Subscription|Netflix|D|1017.25
2024-08-02|07:33:31 PM|Streaming Subscription|Chevron|D|1046.92
2024-06-11|11:56:24 AM|Salary|Costco|D|1007.08
2025-01-01|09:40:01 PM|Salary|Netflix|D|1379.68
2024-06-17|10:13:48 AM|Gas Station|Netflix|P|-984.34
2024-04-20|03:13:39 AM|Streaming Subscription|Costco|P|-1219.19
2024-10-14|08:47:23 PM|Groceries|Safeway|P|-120.25
2024-11-24|06:47:12 AM|Coffee Shop|Walmart|D|1162.13
2024-02-09|02:37:22 AM|Salary|Amazon|D|1397.23
2025-03-08|10:19:15 AM|Coffee Shop|Best Buy|P|-435.98
2024-04-16|02:46:32 AM|Gas Station|Chevron|P|-1225.38
2024-05-12|01:39:43 AM|Groceries|Safeway|P|-120.25
2024-03-11|09:17:41 AM|Streaming Subscription|Walmart|P|-1211.34
2024-10-24|06:08:45 AM|Gas Station|Netflix|D|650.61
2024-07-01|10:16:29 PM|Dining Out|Nike|P|-615.36
2024-04-30|08:46:21 AM|Streaming Subscription|Nike|D|303.86
2024-02-27|07:55:15 AM|Concert Ticket|Amazon|D|1121.59
2025-02-20|06:56:17 AM|Dining Out|Safeway|D|1139.89
2024-06-27|10:57:59 AM|Gift Purchase|Best Buy|D|1237.57
2024-09-11|09:45:35 AM|Coffee Shop|Trader Joe's|D|801.57
2024-01-26|06:16:31 PM|Salary|Safeway|D|842.12
2024-12-18|07:34:25 PM|Groceries|Safeway|P|-120.25
2025-01-13|03:42:10 AM|Concert Ticket|Delta Airlines|P|-1041.0
